DIA;VDA_CMV
28/11/2016;2888,37
29/11/2016;2864,34
30/11/2016;2976,74
01/12/2016;4468,09
02/12/2016;9188,51
03/12/2016;14031,73
04/12/2016;5145,57
05/12/2016;3113,63
06/12/2016;2950,53
07/12/2016;9782,75
08/12/2016;4621,35
09/12/2016;17950,33
10/12/2016;24148,16
11/12/2016;4996,03
12/12/2016;3805,96
13/12/2016;2796,58
14/12/2016;6555,66
15/12/2016;6863,4
16/12/2016;9417,03
17/12/2016;14213,05
18/12/2016;6442,98
19/12/2016;4460,27
20/12/2016;7103,48
21/12/2016;7926,53
22/12/2016;12753,88
23/12/2016;24062,25
24/12/2016;36871,96
26/12/2016;5568,5
27/12/2016;5404,87
28/12/2016;6910,6
29/12/2016;11611,41
30/12/2016;26064,2
31/12/2016;34279,37
01/01/2017;0
02/01/2017;2759,08
03/01/2017;2839,26
04/01/2017;4120,42
05/01/2017;6012,22
06/01/2017;9329,29
07/01/2017;15545,28
08/01/2017;5050,85
09/01/2017;6367,24
10/01/2017;4372,15
11/01/2017;5577,57
12/01/2017;6368,07
13/01/2017;9113,07
14/01/2017;14869,57
15/01/2017;6030,17
16/01/2017;3202,82
17/01/2017;3057,19
18/01/2017;3098,4
19/01/2017;3677,64
20/01/2017;7292,06
21/01/2017;13474,05
22/01/2017;10949,5
23/01/2017;2069,41
24/01/2017;2627,8
25/01/2017;3530,03
26/01/2017;3395,6
27/01/2017;8064,89
28/01/2017;13395,06
29/01/2017;4336,87
30/01/2017;2954,59
31/01/2017;2425,87
01/02/2017;3506,93
02/02/2017;4055,64
03/02/2017;9813,9
04/02/2017;14039,07
05/02/2017;6046,93
06/02/2017;3534,73
07/02/2017;3953,66
08/02/2017;3878,35
09/02/2017;4601,57
10/02/2017;7872,3
11/02/2017;15419,58
12/02/2017;7249,75
13/02/2017;2447,35
14/02/2017;2875,4
15/02/2017;7786,41
16/02/2017;9277,98
17/02/2017;11943,15
18/02/2017;16456,65
19/02/2017;7006,04
20/02/2017;4282,21
21/02/2017;6274,82
22/02/2017;9863,67
23/02/2017;13451,21
24/02/2017;17120,37
25/02/2017;22843,16
26/02/2017;6963,93
27/02/2017;11061,72
28/02/2017;5755,41
01/03/2017;7199,67
02/03/2017;5019,37
03/03/2017;7586,35
04/03/2017;12414,4
05/03/2017;5063,91
06/03/2017;3966,74
07/03/2017;4555,42
08/03/2017;4448,23
09/03/2017;4580,77
10/03/2017;11068,89
11/03/2017;14591,1
12/03/2017;7111,5
13/03/2017;2871,06
14/03/2017;3345,93
15/03/2017;4455,44
16/03/2017;5399,84
17/03/2017;8892,64
18/03/2017;14836,47
19/03/2017;5402,94
20/03/2017;2379,91
21/03/2017;1980,71
22/03/2017;4208,27
23/03/2017;5024,1
24/03/2017;9154,28
25/03/2017;17890,23
26/03/2017;5964,21
27/03/2017;2152,34
28/03/2017;2161,72
29/03/2017;3588,38
30/03/2017;4381,29
31/03/2017;8567,07
01/04/2017;13824,1
02/04/2017;4065,03
03/04/2017;3606,29
04/04/2017;3497,04
05/04/2017;5979,27
06/04/2017;7410,74
07/04/2017;9996,2
08/04/2017;15767,34
09/04/2017;5866,53
10/04/2017;3791,56
11/04/2017;4950,24
12/04/2017;6501,97
13/04/2017;19984,18
14/04/2017;0
15/04/2017;22042,57
16/04/2017;6459,2
17/04/2017;3261,25
18/04/2017;2934,73
19/04/2017;4893,7
20/04/2017;10269,6
21/04/2017;7492,33
22/04/2017;13588,19
23/04/2017;3971,21
24/04/2017;2052,04
25/04/2017;2483,14
26/04/2017;3126,08
27/04/2017;4208,15
28/04/2017;7891,04
29/04/2017;12198,79
30/04/2017;5901,88
01/05/2017;4507,22
02/05/2017;2543,68
03/05/2017;5064,45
04/05/2017;3120,71
05/05/2017;8418,17
06/05/2017;13851,62
07/05/2017;5692,11
08/05/2017;2397,25
09/05/2017;2618,3
10/05/2017;4771,63
11/05/2017;5184,19
12/05/2017;8406,61
13/05/2017;13585,98
14/05/2017;6015,28
15/05/2017;1929,34
16/05/2017;2208,75
17/05/2017;3462,43
18/05/2017;6751,72
19/05/2017;6050,55
20/05/2017;13635,23
21/05/2017;3930,94
22/05/2017;3892,86
23/05/2017;1597,51
24/05/2017;2601,64
25/05/2017;3546,91
26/05/2017;6344,5
27/05/2017;12500,32
28/05/2017;4316,21
29/05/2017;1847,93
30/05/2017;2002,2
31/05/2017;3563,27
01/06/2017;5384,47
02/06/2017;7218,93
03/06/2017;11121,71
04/06/2017;4627,19
05/06/2017;2361,15
06/06/2017;3559,66
07/06/2017;5457,26
08/06/2017;8945,24
09/06/2017;7799,3
10/06/2017;13293,37
11/06/2017;5164,46
12/06/2017;3405,22
13/06/2017;3682,78
14/06/2017;7220,23
15/06/2017;6087,79
16/06/2017;10450,38
17/06/2017;9016,17
18/06/2017;3814,86
19/06/2017;1724,32
20/06/2017;2366,81
21/06/2017;4171,81
22/06/2017;6962,02
23/06/2017;10024,5
24/06/2017;16274,55
25/06/2017;6050,45
26/06/2017;4113,43
27/06/2017;2743,34
28/06/2017;2710,59
29/06/2017;4728,21
30/06/2017;6396,31
01/07/2017;11438,56
02/07/2017;4356,15
03/07/2017;2655,23
04/07/2017;2478,3
05/07/2017;3639,87
06/07/2017;3765,55
07/07/2017;8724,76
08/07/2017;13189,39
09/07/2017;4611,6
10/07/2017;2709,55
11/07/2017;2621,98
12/07/2017;5593,77
13/07/2017;6332,8
14/07/2017;7902,68
15/07/2017;12945,96
16/07/2017;5490,69
17/07/2017;4891,37
18/07/2017;3923,82
19/07/2017;3715,5
20/07/2017;3997,86
21/07/2017;7094,05
22/07/2017;12098,63
23/07/2017;4523,56
24/07/2017;2738,95
25/07/2017;2466,04
26/07/2017;4549,82
27/07/2017;3738,46
28/07/2017;6445,55
29/07/2017;11523,72
30/07/2017;4234,96
31/07/2017;2351,61
01/08/2017;2651,99
02/08/2017;3520,8
03/08/2017;2979,84
04/08/2017;6252,05
05/08/2017;10722,37
06/08/2017;4493,35
07/08/2017;2220,09
08/08/2017;2578,81
09/08/2017;4149,85
10/08/2017;5126,38
11/08/2017;7989,22
12/08/2017;13455,27
13/08/2017;6286,23
14/08/2017;1818,45
15/08/2017;2517,6
16/08/2017;2739,57
17/08/2017;3212,14
18/08/2017;5020,34
19/08/2017;10956,46
20/08/2017;4704,23
21/08/2017;1857,28
22/08/2017;1628,89
23/08/2017;7458,49
24/08/2017;6714,4
25/08/2017;9964,65
26/08/2017;14588,37
27/08/2017;5677,62
28/08/2017;7336,22
29/08/2017;3165,72
30/08/2017;3905,41
31/08/2017;3944,29
01/09/2017;8597,88
02/09/2017;17629,41
03/09/2017;8368,66
04/09/2017;3423,65
05/09/2017;6554,18
06/09/2017;12889,98
07/09/2017;8624,06
08/09/2017;8296,26
09/09/2017;14443,94
10/09/2017;5714,89
11/09/2017;2719,93
12/09/2017;3044,12
13/09/2017;4261,75
14/09/2017;4722,02
15/09/2017;8451,83
16/09/2017;17275,81
17/09/2017;5400,21
18/09/2017;2887,85
19/09/2017;3169,63
20/09/2017;5169,16
21/09/2017;6879,73
22/09/2017;8286,19
23/09/2017;13434
24/09/2017;5831,42
25/09/2017;2613,97
26/09/2017;2862,2
27/09/2017;3223,6
28/09/2017;3387,77
29/09/2017;6170,61
30/09/2017;11699,78
01/10/2017;4771,13
02/10/2017;2081,5
03/10/2017;2096,21
04/10/2017;3687,72
05/10/2017;7527,14
06/10/2017;9868,22
07/10/2017;17976,18
08/10/2017;6011,81
09/10/2017;6971,88
10/10/2017;6783,16
11/10/2017;8513,03
12/10/2017;6831,03
13/10/2017;10303,89
14/10/2017;11932,83
15/10/2017;4937,25
16/10/2017;2284,81
17/10/2017;2741,13
18/10/2017;7154,78
19/10/2017;8509,84
20/10/2017;11518,67
21/10/2017;14704,99
22/10/2017;6451,39
23/10/2017;5320,19
24/10/2017;2427,78
25/10/2017;3582,37
26/10/2017;5757,36
27/10/2017;6341,57
28/10/2017;12855,32
29/10/2017;4771,21
30/10/2017;2087,48
31/10/2017;3264,22
01/11/2017;9108,23
02/11/2017;6002,15
03/11/2017;11533,64
04/11/2017;12990,6
05/11/2017;5303,56
06/11/2017;4205,79
07/11/2017;3232,88
08/11/2017;4906,91
09/11/2017;5692,08
10/11/2017;9674,53
11/11/2017;15802,97
12/11/2017;5369,51
13/11/2017;4041,73
14/11/2017;6506,89
15/11/2017;7832,66
16/11/2017;5402,06
17/11/2017;10983,38
18/11/2017;14759,54
19/11/2017;5409,6
20/11/2017;2989,3
21/11/2017;2811,88
22/11/2017;4542,56
23/11/2017;4554,3
24/11/2017;10138,11
25/11/2017;12185,83
26/11/2017;5530,86
27/11/2017;2044,6
28/11/2017;2439,9
29/11/2017;4065,95
30/11/2017;5807,05
01/12/2017;8645,38
02/12/2017;15280,07
03/12/2017;4684,7
04/12/2017;3029,84
05/12/2017;4678,43
06/12/2017;7102,82
07/12/2017;7886,85
08/12/2017;9349,1
09/12/2017;15111,57
10/12/2017;7731,27
11/12/2017;7425,97
12/12/2017;4226,84
13/12/2017;9832,76
14/12/2017;9890,13
15/12/2017;11482,78
16/12/2017;19315,66
17/12/2017;7736,41
18/12/2017;6100,07
